id,name,price,originalprice,discountPercentage,detail,platform,category,scrapedate,seller
ps--UNI-60025-00183,"Rinso Molto Detergent Cair Deterjen Anti Noda Royal Gold 700 mL
",23800.0,27600.0,14,"mL
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00189,Molto Pewangi Pakaian Active Fresh 7x Kesegaran & Anti Bau 1.7 L,27900.0,34400.0,19,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00190,Molto Pelembut & Pewangi Pakaian Softener Konsentrat Parfum + Protect Morning Fresh 1.6 L,55900.0,63700.0,12,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00279,Wipol Karbol Cemara Cairan Pembersih Lantai Botol [450 mL],20900.0,24700.0,15,450mL,BliBli,Pembersih Lantai,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00330,Wipol Karbol Cemara Cairan Pembersih Lantai Botol [450 mL],20900.0,24700.0,15,450mL,BliBli,Pembersih Lantai,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00333,Rinso Molto Detergen Cair Perfume Essence [200 mL],4400.0,5000.0,12,200mL,BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00435,"Rinso Molto Detergent Cair Deterjen Anti Noda Perfume Essence 1.65 L
",51400.0,58700.0,12,"L
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00515,Molto Cairan Pewangi Baju Pelembut Baju Japanese Peach Fresh [720 mL],17100.0,31300.0,45,720mL,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00564,"Rinso Molto Detergent Cair Deterjen Anti Noda Rose Fresh 1.65 L
",49500.0,58700.0,16,"L
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00590,Molto Pewangi Pakaian Sport Fresh 7x Kesegaran & Anti Bau 1.7 L,25500.0,34400.0,26,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00608,Molto Pewangi Pakaian Sport Fresh 7x Kesegaran & Anti Bau 1.7 L,25500.0,34400.0,26,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00715,Molto Pewangi Pakaian Sport Fresh 7x Kesegaran & Anti Bau 1.7 L,25500.0,34400.0,26,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00716,Molto Pewangi Pakaian Sport Fresh 7x Kesegaran & Anti Bau 1.7 L,25500.0,34400.0,26,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00725,Rinso Molto Detergen Cair Konsentrat Rose Fresh Anti Bau & Apek Proteksi Higienis [1 L],33600.0,38300.0,12,1L,BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00808,Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 1.5 L,34900.0,40000.0,13,L,BliBli,Cairan Pembersih Dapur,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00824,Molto Pewangi Pakaian Sport Fresh 7x Kesegaran & Anti Bau 1.7 L [2 Pcs],50500.0,68700.0,26,2Pcs,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00954,Molto Pelembut & Pewangi Pakaian Bayi Softener Konsentrat Pure Soft & Gentle 1.6 L [2 Pcs],109600.0,127400.0,14,2Pcs,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00959,Molto Pewangi Pakaian Soft & Fresh 7x Kesegaran & Anti Bau 1.7 L [2 Pcs],57600.0,68700.0,16,2Pcs,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00960,Molto Pewangi Pakaian Active Fresh 7x Kesegaran & Anti Bau 1.7 L [2 Pcs],57600.0,68700.0,16,2Pcs,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00978,Molto Pewangi Pakaian Active Fresh 7x Kesegaran & Anti Bau 1.7 L [2 Pcs],57600.0,68700.0,16,2Pcs,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-01004,Molto Pelembut & Pewangi Pakaian Softener Konsentrat Parfum Boost Korean Strawberry 680 mL,22200.0,25000.0,11,680mL,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-01023,Molto Pelembut & Pewangi Pakaian Softener Konsentrat Parfum Boost Korean Strawberry 680 mL [2 Pcs],44500.0,50000.0,11,2Pcs,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-01069,Molto Pelembut & Pewangi Pakaian Bayi Softener Konsentrat Pure Soft & Gentle 1.6 L [3 Pcs],150400.0,191000.0,21,3Pcs,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-01070,"Rinso Molto Detergent Bubuk Deterjen Anti Noda Perfume Essence 1.8 Kg [3 Pcs]
",178000.0,211700.0,16,"3Pcs
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-01071,"Rinso Molto Detergent Bubuk Deterjen Anti Noda Rose Fresh 1.8 Kg [3 Pcs]
",178000.0,211700.0,16,"3Pcs
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
